datetime,national_demand_mw,north_demand_mw,west_demand_mw,east_demand_mw,south_demand_mw,north_east_demand_mw,temperature_2m_c,relative_humidity_pct,cloud_cover_pct,precipitation_mm,wind_speed_10m_kmh,solar_radiation_w_m2,wind_speed_10m_ms,solar_generation_kw,solar_imputed,solar_irradiance_proxy_w_m2,hour,day_of_week,month,year,is_weekend,wind_power_potential_kw,combined_renewable_kw,facility_demand_kw,energy_balance_kw
2019-01-01,137169.95625000002,39993.739583333336,44784.450833333336,14209.220416666665,36487.270833333336,1695.2749999999999,12.729166666666666,71.20833333333333,5.25,0.0,7.066666666666666,148.25,2.2420833333333334,197.98486103333335,0.0,197.98479166666667,11.5,1.0,1.0,2019.0,0.0,0.0,197.98486103333335,8230.197375,-8032.212513966667
2019-01-02,138531.52583333335,39797.449583333335,45767.174999999996,14116.896666666667,37127.36166666667,1722.6445833333335,14.133333333333333,70.79166666666667,11.083333333333334,0.0,6.945833333333333,146.04166666666666,2.1225,201.59909153750002,0.0,201.5990833333333,11.5,2.0,1.0,2019.0,0.0,0.0,201.59909153750002,8311.89155,-8110.2924584625
2019-01-03,139922.52375,39918.4225,46308.80541666667,14389.835416666667,37588.12,1717.3391666666666,13.4625,69.83333333333333,2.125,0.0,9.9375,149.45833333333334,3.35375,208.04395823333334,0.0,208.04391666666666,11.5,3.0,1.0,2019.0,0.0,0.7560448673982627,208.8000031007316,8395.351424999999,-8186.5514218992685
2019-01-04,140803.80791666667,40271.19291666667,46460.945,14528.513333333334,37816.87375,1726.2829166666668,12.649999999999999,70.20833333333333,59.791666666666664,0.0,7.529166666666666,110.125,2.2079166666666667,146.20557043333335,0.0,146.20554166666668,11.5,4.0,1.0,2019.0,0.0,0.01555309785093733,146.22112353118428,8448.228475,-8302.007351468816
2019-01-05,139779.99125,39053.72125,46752.3725,14789.113333333333,37431.695,1753.0916666666665,13.429166666666667,69.20833333333333,5.75,0.0,11.941666666666668,146.25,3.0883333333333334,204.72836583749998,0.0,204.728375,11.5,5.0,1.0,2019.0,1.0,0.3424666780978509,205.07083251559786,8386.799475,-8181.7286424844015
2019-01-06,135063.32083333333,37556.92958333334,45342.417916666665,14427.22375,36043.167083333334,1693.5808333333334,13.045833333333334,76.875,44.875,0.09583333333333333,8.708333333333334,113.66666666666667,2.6991666666666667,157.93683958625,0.0,157.93679166666666,11.5,6.0,1.0,2019.0,1.0,0.02168061271147688,157.95852019896148,8103.799249999999,-7945.840729801038
2019-01-07,138333.76958333334,38871.54458333333,45749.15,14589.360416666668,37421.685,1702.0295833333332,12.441666666666668,77.125,0.2916666666666667,0.0,8.329166666666667,151.04166666666666,3.0829166666666663,207.6288810975,0.0,207.62883333333335,11.5,0.0,1.0,2019.0,0.0,0.04912568587105623,207.67800678337105,8300.026175,-8092.348168216628
2019-01-08,140570.07749999998,40432.9675,46400.549166666664,14392.129583333333,37655.62666666667,1688.80375,12.216666666666667,75.0,28.083333333333332,0.0,10.254166666666666,138.125,3.4320833333333334,190.87300807583333,0.0,190.87300000000002,11.5,1.0,1.0,2019.0,0.0,0.3092596593507087,191.18226773518404,8434.20465,-8243.022382264817
2019-01-09,140339.02291666667,40432.28791666667,46454.77833333333,14234.242083333333,37552.595,1665.1204166666666,12.570833333333333,68.83333333333333,0.0,0.0,12.779166666666667,155.41666666666666,4.17,214.39915702500002,0.0,214.39916666666667,11.5,2.0,1.0,2019.0,0.0,10.005478737997256,224.40463576299726,8420.341375,-8195.936739237002
2019-01-10,141296.24083333332,40336.32125,46527.567500000005,14482.717499999999,38211.630833333336,1738.0041666666666,12.745833333333332,65.66666666666667,6.166666666666667,0.0,8.708333333333334,157.125,2.3633333333333333,212.88358001083336,0.0,212.88358333333335,11.5,3.0,1.0,2019.0,0.0,0.42921702103337916,213.31279703186672,8477.774449999999,-8264.461652968133
2019-01-11,142556.13833333334,40889.65083333333,46698.150833333326,14524.095,38676.46958333333,1767.77125,12.887500000000001,67.75,6.333333333333333,0.0,6.8875,152.79166666666666,1.4883333333333333,203.76166909375002,0.0,203.76166666666666,11.5,4.0,1.0,2019.0,0.0,0.0,203.76166909375002,8553.3683,-8349.60663090625
2019-01-12,141220.79916666666,39946.53166666667,46848.03,14539.301666666666,38129.74458333333,1757.1916666666666,13.870833333333332,67.29166666666667,8.916666666666666,0.0,5.916666666666667,151.83333333333334,1.3091666666666666,191.60313539875003,0.0,191.603125,11.5,5.0,1.0,2019.0,1.0,0.0,191.60313539875003,8473.247949999999,-8281.64481460125
2019-01-13,137005.56583333333,38837.00125,45823.20416666666,13972.070833333333,36678.293333333335,1694.9979166666665,14.525,71.70833333333333,22.0,0.0,7.4750000000000005,150.08333333333334,3.42,194.01676774583333,0.0,194.01675,11.5,6.0,1.0,2019.0,1.0,0.9840881344307268,195.00085588026408,8220.333949999998,-8025.3330941197355
2019-01-14,135925.35041666668,39350.31291666667,43410.9175,14330.626250000001,37115.08541666667,1718.4054166666665,12.520833333333334,58.5,0.0,0.0,14.979166666666666,165.75,4.901666666666666,241.06461634166666,0.0,241.06462499999998,11.5,0.0,1.0,2019.0,0.0,30.732780064014634,271.7973964056813,8155.521024999999,-7883.723628594318
2019-01-15,136617.72708333333,40990.02625,44827.299166666664,14334.59375,34795.87708333333,1669.9291666666668,11.495833333333332,56.333333333333336,50.833333333333336,0.0,13.225000000000001,160.0,3.4604166666666667,224.59606635541664,0.0,224.59608333333333,11.5,1.0,1.0,2019.0,0.0,5.119972679469593,229.71603903488628,8197.063625,-7967.347585965113
2019-01-16,138358.83166666667,41143.309166666666,46434.91375,14598.924583333333,34555.86833333333,1625.8170833333334,11.725,66.58333333333333,65.25,0.0,6.579166666666667,144.33333333333334,1.4295833333333334,175.13451995625,0.0,175.13454166666668,11.5,2.0,1.0,2019.0,0.0,0.0,175.13451995625,8301.5299,-8126.395380043749
2019-01-17,140261.87333333332,41151.97375,47178.36083333333,14589.730833333333,35686.674999999996,1655.1325,12.770833333333334,71.16666666666667,0.0,0.0,7.541666666666667,163.0,2.8554166666666667,227.32651923583333,0.0,227.32645833333333,11.5,3.0,1.0,2019.0,0.0,0.005585219478737972,227.33210445531208,8415.712399999999,-8188.380295544688
2019-01-18,142039.72208333333,41377.9575,46911.10791666667,14789.724166666667,37267.98458333333,1692.94625,12.079166666666666,72.25,0.4583333333333333,0.0,8.658333333333333,165.29166666666666,2.4320833333333334,227.49766245833334,0.0,227.49770833333332,11.5,4.0,1.0,2019.0,0.0,0.0020541266575217197,227.49971658499086,8522.383325,-8294.883608415008
2019-01-19,141293.345,40392.815833333334,46998.81625,14685.532916666665,37492.5575,1723.6204166666666,14.4375,66.66666666666667,24.125,0.0,7.0625,160.04166666666666,2.3433333333333333,213.4055334354167,0.0,213.40558333333334,11.5,5.0,1.0,2019.0,1.0,0.0,213.4055334354167,8477.6007,-8264.195166564583
