datetime,national_demand_mw,north_demand_mw,west_demand_mw,east_demand_mw,south_demand_mw,north_east_demand_mw,temperature_2m_c,relative_humidity_pct,cloud_cover_pct,precipitation_mm,wind_speed_10m_kmh,solar_radiation_w_m2,wind_speed_10m_ms,solar_generation_kw,solar_imputed,solar_irradiance_proxy_w_m2,hour,day_of_week,month,year,is_weekend,wind_power_potential_kw,combined_renewable_kw,facility_demand_kw,energy_balance_kw
2019-01-01,137954.77670698924,38920.00447580645,45590.290080645165,14574.432217741936,37151.789556451615,1718.2602284946238,12.946102150537634,70.28897849462365,25.974462365591396,0.03602150537634409,9.533736559139786,149.41129032258064,2.983467741935484,199.0904614685484,0.0,199.09045564516128,11.5,2.903225806451613,1.0,2019.0,0.25806451612903225,4.625835499727127,203.71629696827551,8277.286602419354,-8073.570305451079
2019-02-01,140545.37046130953,37102.426145833335,46269.71363095238,14720.223735119047,40774.31029761905,1678.6965625,15.095535714285715,75.28125,43.42113095238095,0.07261904761904761,10.032589285714286,168.22619047619048,2.9020386904761906,190.03961769645835,0.0,190.03961458333333,11.5,3.0,2.0,2019.0,0.2857142857142857,2.9167918360931475,192.95640953255148,8432.72222767857,-8239.76581814602
2019-03-01,147127.42639784946,37318.11206989247,47102.48309139785,16007.335833333333,45016.14248655914,1683.3532795698925,20.32567204301075,57.38172043010753,27.490591397849464,0.01827956989247312,10.184139784946236,225.68682795698925,3.2222043010752692,217.0200042318145,0.0,217.0199946236559,11.5,3.193548387096774,3.0,2019.0,0.3225806451612903,4.958305240276119,221.97830947209064,8827.645583870968,-8605.667274398877
2019-04-01,154253.92881944444,40932.27520833333,50466.29115277778,17939.799194444444,43229.88622222222,1685.6770833333333,29.134166666666665,39.8875,23.5875,0.007638888888888889,10.487361111111111,257.7527777777778,3.1029305555555555,218.89072815331946,0.0,218.89071805555557,11.5,2.8333333333333335,4.0,2019.0,0.26666666666666666,7.313376369836915,226.20410452315636,9255.235729166667,-9029.03162464351
2019-05-01,162908.70752688174,49183.587513440856,51423.88047043011,18893.70137096774,41712.07384408602,1695.4641397849464,32.15739247311828,31.428763440860216,19.111559139784948,0.004704301075268817,11.346236559139786,263.369623655914,3.725806451612903,213.87076294907257,0.0,213.87076612903226,11.5,3.0,5.0,2019.0,0.25806451612903225,14.515787206661063,228.38655015573366,9774.522451612904,-9546.13590145717
2019-06-01,163969.33390277778,55964.65941666667,48040.632125000004,18829.077666666668,39056.13431944445,2078.830236111111,34.67986111111111,40.42638888888889,16.863888888888887,0.014861111111111113,11.249583333333334,253.95,3.4010416666666665,195.88715271944446,0.0,195.88715277777777,11.5,3.1666666666666665,6.0,2019.0,0.3333333333333333,13.592999013107757,209.48015173255223,9838.160034166665,-9628.679882434113
2019-07-01,155611.27724462366,53456.62225806452,45009.5173655914,18270.92670698925,36868.98819892473,2005.2230376344085,30.644086021505377,71.6236559139785,64.77150537634408,0.2485215053763441,9.573118279569892,209.05241935483872,3.0116801075268818,146.77859403252688,0.0,146.7786008064516,11.5,2.806451612903226,7.0,2019.0,0.25806451612903225,10.833719054677935,157.61231308720483,9336.676634677418,-9179.064321590215
2019-08-01,150993.99005376344,52070.541881720426,41401.822002688175,18859.44629032258,36430.69693548387,2231.482970430108,28.880645161290325,82.97446236559139,73.81989247311827,0.2676075268817204,9.086290322580645,205.91801075268816,2.6791129032258065,150.47267329208333,0.0,150.4726747311828,11.5,3.096774193548387,8.0,2019.0,0.2903225806451613,9.549575136067968,160.0222484281513,9059.639403225807,-8899.617154797654
2019-09-01,149896.44338888887,52636.35231944445,41081.76015277777,18212.972805555557,35852.53768055556,2112.8202083333335,28.359583333333337,80.7,50.018055555555556,0.11444444444444445,8.93138888888889,194.7875,2.352,161.23214947819446,0.0,161.23215694444445,11.5,3.0,9.0,2019.0,0.3,0.8786929850632526,162.1108424632577,8993.786603333332,-8831.675760870075
2019-10-01,132021.95279569892,39935.410927419354,40890.2177016129,16194.161223118279,33124.309932795695,1877.8526478494625,25.821236559139784,61.744623655913976,18.858870967741936,0.01989247311827957,7.552150537634409,189.63440860215053,2.158306451612903,196.1956455549059,0.0,196.1956370967742,11.5,2.903225806451613,10.0,2019.0,0.25806451612903225,0.3364729652491998,196.5321185201551,7921.317167741935,-7724.78504922178
2019-11-01,130624.57868055557,35930.219333333334,43334.080916666666,14288.998763888889,35341.481041666666,1729.798763888889,20.986805555555556,66.64861111111111,36.24583333333333,0.03527777777777778,9.388333333333334,147.87777777777777,2.6836527777777777,178.5393295222222,0.0,178.5393347222222,11.5,3.1,11.0,2019.0,0.3,2.9662126828989486,181.50554220512117,7837.474720833333,-7655.969178628211
2019-12-01,135798.0959139785,37998.759233870966,45335.74623655914,14160.859610215055,36617.65547043011,1685.0753897849463,12.527284946236557,79.79704301075269,34.31586021505376,0.013172043010752688,7.947177419354839,131.55107526881721,2.320793010752688,171.9234235772984,0.0,171.92342876344085,11.5,2.935483870967742,12.0,2019.0,0.2903225806451613,0.48039694234258146,172.40382051964096,8147.8857548387095,-7975.481934319068
