metric,value
Total Cost Without Storage (Rs.),1245103.476172481
Total Cost With Storage (Rs.),1037343.8185889021
Cost Savings (Rs.),207759.65758357884
Cost Savings (%),16.686135856133326
Total CO2 Without Storage (kg),136732.22222998412
Total CO2 With Storage (kg),113916.89786957884
CO2 Reduction (kg),22815.32436040528
CO2 Reduction (%),16.686135856133326
