target,algorithm,mae,rmse,mape_pct,test_rows,selected
demand,ridge,2490.5002389597307,3253.3299695331034,1.3590694675897803,9312,1
demand,random_forest,2806.826362235031,4227.17757493202,1.4653335244627717,9312,0
demand,hist_gradient_boosting,2642.417368915228,4345.242168517757,1.3569057853358362,9312,0
solar,ridge,25.182461821855615,43.026959381984845,522.0564901384622,9312,0
solar,random_forest,11.763944028056613,28.84340044338175,10.46160874173724,9312,0
solar,hist_gradient_boosting,12.326479613960906,28.663798588675917,24.212049635764966,9312,1
wind,ridge,2.393178589433694,7.688875721598457,99.46020990454602,9312,0
wind,random_forest,0.008849365310814308,0.18626986933234946,0.0038800307729705457,9312,1
wind,hist_gradient_boosting,0.49835103303819467,6.356434886804164,1.5649893047392092,9312,0
